prompt_id,group,category,text,construction_or_source_note,legacy_core,legacy_prompt_sha256,split,token_ids,token_count,prompt_text_sha256,raw_file_sha256,manifest_fingerprint
ACT-IPIP-N1-01,ipip_stems,N1,Worry about things.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,fbf6fa8207626ce038a347ae234def198dc68cf792b2379c904a5643eb4a4c14,validation,"[128000, 54, 8635, 922, 2574, 13]",6,fbf6fa8207626ce038a347ae234def198dc68cf792b2379c904a5643eb4a4c14,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N1-02,ipip_stems,N1,Fear for the worst.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,f45653c15e2c52fbafbf1d6d30e2e20a0bcfbfbc6eca60affc396fc3af923c98,train,"[128000, 91471, 369, 279, 12047, 13]",6,f45653c15e2c52fbafbf1d6d30e2e20a0bcfbfbc6eca60affc396fc3af923c98,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N1-03,ipip_stems,N1,Am afraid of many things.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,c3aeb4aaf78e06cdc71e2e93ef8900f3921e27890d6636c0067657e4834b25d6,test,"[128000, 6219, 16984, 315, 1690, 2574, 13]",7,c3aeb4aaf78e06cdc71e2e93ef8900f3921e27890d6636c0067657e4834b25d6,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N1-04,ipip_stems,N1,Get stressed out easily.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,88985334898c92e6fabedb059d51b8fd08ba2ab84a013608b46760af1a3c5237,train,"[128000, 1991, 32647, 704, 6847, 13]",6,88985334898c92e6fabedb059d51b8fd08ba2ab84a013608b46760af1a3c5237,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N2-01,ipip_stems,N2,Get angry easily.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,421df62a336c1cad22dcec5103e3ce710456e2ca719bceada2d912fea8bb9000,train,"[128000, 1991, 19021, 6847, 13]",5,421df62a336c1cad22dcec5103e3ce710456e2ca719bceada2d912fea8bb9000,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N2-02,ipip_stems,N2,Get irritated easily.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,47d605b559b01440a353790dfcd0c4b3e03f8bebf580c1cc0f23be44ac0753bd,validation,"[128000, 1991, 84971, 6847, 13]",5,47d605b559b01440a353790dfcd0c4b3e03f8bebf580c1cc0f23be44ac0753bd,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N2-03,ipip_stems,N2,Lose my temper.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,f3b25a37d22db9910df33f855ff0c36347cf82a0182601fa73fe9e79d2da8536,test,"[128000, 43, 974, 856, 6940, 13]",6,f3b25a37d22db9910df33f855ff0c36347cf82a0182601fa73fe9e79d2da8536,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N2-04,ipip_stems,N2,Am not easily annoyed.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,321c5a3bde4efb86cd48fd2c0b63cd35c88222a87cd896a5d86be866568bf352,train,"[128000, 6219, 539, 6847, 57130, 13]",6,321c5a3bde4efb86cd48fd2c0b63cd35c88222a87cd896a5d86be866568bf352,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N3-01,ipip_stems,N3,Often feel blue.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,14659c3485a45fe2150e2e906d06b92ffa292774d90cf768ce7acd6733f7cca0,validation,"[128000, 78013, 2733, 6437, 13]",5,14659c3485a45fe2150e2e906d06b92ffa292774d90cf768ce7acd6733f7cca0,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N3-02,ipip_stems,N3,Dislike myself.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,229735a680187afe14f52473d4a89bba0090478b8e7a7920ed9cecbe1185870a,train,"[128000, 4944, 4908, 7182, 13]",5,229735a680187afe14f52473d4a89bba0090478b8e7a7920ed9cecbe1185870a,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N3-03,ipip_stems,N3,Am often down in the dumps.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,c54bdfc36492adc2747794a86ac0a072dd964649ecaf26b3d9f7739ce60a81f3,train,"[128000, 6219, 3629, 1523, 304, 279, 61481, 13]",8,c54bdfc36492adc2747794a86ac0a072dd964649ecaf26b3d9f7739ce60a81f3,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N3-04,ipip_stems,N3,Feel comfortable with myself.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,59b127edd20b29977ecd3a930bf4cf75a1586b3da7475aa3563d127ce6c572b2,test,"[128000, 34027, 10882, 449, 7182, 13]",6,59b127edd20b29977ecd3a930bf4cf75a1586b3da7475aa3563d127ce6c572b2,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N4-01,ipip_stems,N4,Find it difficult to approach others.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,90da1fa597df6a7eec52458b4f21f9818952c7df03c964b10242129ed46b4990,train,"[128000, 10086, 433, 5107, 311, 5603, 3885, 13]",8,90da1fa597df6a7eec52458b4f21f9818952c7df03c964b10242129ed46b4990,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
ACT-IPIP-N4-02,ipip_stems,N4,Am afraid to draw attention to myself.,Exact frozen Johnson 2014 IPIP-NEO-120 item statement.,True,3a8a66199f9f86e2378f5add8b15b029c8f045ffb00c5f9a6527c4b189e07981,train,"[128000, 6219, 16984, 311, 4128, 6666, 311, 7182, 13]",9,3a8a66199f9f86e2378f5add8b15b029c8f045ffb00c5f9a6527c4b189e07981,014620f8aead2e9882081907e6b7bcb6b03a7d8876347cab2176abf742890b60,14a2c282b45de44a6d640fc2e6dc1ed04d418f2f10d941f828d9c3c09a4704ad
