ptype,model_key,rank,ngram,coefficient
0,ptype_0,1,is,0.8133055751643484
0,ptype_0,2,is the,0.8089701923828913
0,ptype_0,3,points,0.7763445609563135
0,ptype_0,4,answer,0.7197998084957451
0,ptype_0,5,00pm,0.7153637686401845
0,ptype_0,6,minute,0.7059266280018901
0,ptype_0,7,what is,0.702207801739914
0,ptype_0,8,was not,0.648232997130441
0,ptype_0,9,correct,0.6441381269621667
0,ptype_0,10,correct answer,0.6441381269621667
0,ptype_0,11,action the,0.6366167605427347
0,ptype_0,12,is familiar,0.6225600025313102
0,ptype_0,13,point for,0.6026036568427418
0,ptype_0,14,left,0.5973178806743029
0,ptype_0,15,point,0.5954644467462586
0,ptype_0,16,the reply,0.524663789105998
0,ptype_0,17,effect of,0.522499535659838
0,ptype_0,18,after the,0.5208685899864626
0,ptype_0,19,it is,0.5003686051844032
0,ptype_0,20,you need,0.4909057707359237
1,ptype_1,1,minutes minutes,1.1321060670037408
1,ptype_1,2,minutes,0.9020377387914905
1,ptype_1,3,would,0.8182348814310094
1,ptype_1,4,or,0.716837050155632
1,ptype_1,5,second person,0.6490582693330821
1,ptype_1,6,first person,0.6323669779955626
1,ptype_1,7,the second,0.6278789711157732
1,ptype_1,8,00,0.613948314175815
1,ptype_1,9,second,0.5871256551042972
1,ptype_1,10,was,0.5778910476401774
1,ptype_1,11,not not,0.5761624891964059
1,ptype_1,12,the first,0.5760200110569931
1,ptype_1,13,would ask,0.574411167149377
1,ptype_1,14,patient,0.5659606615979151
1,ptype_1,15,first,0.562177299376531
1,ptype_1,16,to find,0.5499953007220768
1,ptype_1,17,or not,0.537321259040472
1,ptype_1,18,find way,0.5209279363698349
1,ptype_1,19,person is,0.5135924239543984
1,ptype_1,20,if supposed,0.5036071409863201
2,ptype_2,1,sorry but,0.901639409039028
2,ptype_2,2,but can,0.8163036227310974
2,ptype_2,3,after that,0.7691642725497736
2,ptype_2,4,that what,0.7444886340420804
2,ptype_2,5,the customer,0.7217383120644961
2,ptype_2,6,topic,0.7202716677782346
2,ptype_2,7,it ask,0.7043969722249326
2,ptype_2,8,customer,0.6706486209481703
2,ptype_2,9,step after,0.6587197600218704
2,ptype_2,10,about,0.6407398990012904
2,ptype_2,11,ll do,0.6172914288680639
2,ptype_2,12,reply you,0.616059968876656
2,ptype_2,13,do the,0.6109914807734933
2,ptype_2,14,can do,0.5712115438079127
2,ptype_2,15,but,0.5664522509277523
2,ptype_2,16,someone,0.5655579960445222
2,ptype_2,17,try it,0.5635520766037821
2,ptype_2,18,chat with,0.5599953640039017
2,ptype_2,19,group chat,0.5599953640039017
2,ptype_2,20,in group,0.5599953640039017
3,ptype_3,1,22,2.3070554538000394
3,ptype_3,2,21 22,2.3070554538000394
3,ptype_3,3,am,0.9752179918945257
3,ptype_3,4,step is,0.8095815278790076
3,ptype_3,5,do have,0.7878823439300604
3,ptype_3,6,next step,0.7823304317706986
3,ptype_3,7,list,0.7474395060163019
3,ptype_3,8,of,0.7116805859623945
3,ptype_3,9,list of,0.7082761123910529
3,ptype_3,10,step,0.6444723974419996
3,ptype_3,11,or less,0.6116467603540804
3,ptype_3,12,not going,0.6043387237046992
3,ptype_3,13,by,0.6031082261415357
3,ptype_3,14,why is,0.5865810963344509
3,ptype_3,15,have list,0.569708867241289
3,ptype_3,16,system,0.543469432642137
3,ptype_3,17,moves later,0.5396926599585811
3,ptype_3,18,will do,0.5280610900942354
3,ptype_3,19,was,0.5249262019459507
3,ptype_3,20,things,0.5246198888288374
4,ptype_4,1,seconds seconds,0.9234538298140362
4,ptype_4,2,seconds,0.8980206595952648
4,ptype_4,3,to interrupt,0.8499888910865301
4,ptype_4,4,interrupt,0.8499888910865301
4,ptype_4,5,didn mean,0.7941092414562801
4,ptype_4,6,mean to,0.7941092414562801
4,ptype_4,7,interrupt you,0.7859073289804106
4,ptype_4,8,mean,0.7557294324333005
4,ptype_4,9,points points,0.7288092178508939
4,ptype_4,10,parts,0.7287227501441947
4,ptype_4,11,didn,0.699178374433273
4,ptype_4,12,get the,0.6770309067523581
4,ptype_4,13,work into,0.6729963461542009
4,ptype_4,14,ll,0.6583672158758015
4,ptype_4,15,points,0.6458768478646231
4,ptype_4,16,into two,0.6058215725512848
4,ptype_4,17,sentences if,0.5838442994767652
4,ptype_4,18,draft,0.5624019195654469
4,ptype_4,19,is complete,0.5545119685663799
4,ptype_4,20,link to,0.5493389911647614
5,ptype_5,1,re,1.4994172931193583
5,ptype_5,2,you re,1.3957847471470837
5,ptype_5,3,ll do,1.2743667596967343
5,ptype_5,4,sentences,1.0388944747525333
5,ptype_5,5,ll,1.0059273511274602
5,ptype_5,6,sentences sentences,0.8060801062648695
5,ptype_5,7,re not,0.7361271046587319
5,ptype_5,8,longer response,0.7319733614793267
5,ptype_5,9,ask if,0.7254883508762094
5,ptype_5,10,done,0.7179521312004649
5,ptype_5,11,bad,0.713828228295079
5,ptype_5,12,longer,0.6846531204290908
5,ptype_5,13,do the,0.6758442633492147
5,ptype_5,14,write longer,0.6596840523779604
5,ptype_5,15,ask professional,0.6361803834805464
5,ptype_5,16,then write,0.6239183064125482
5,ptype_5,17,and,0.6188555768736954
5,ptype_5,18,don,0.6184972792788382
5,ptype_5,19,the longer,0.6096029017019148
5,ptype_5,20,sentences is,0.6080530048343985
6,ptype_6,1,we will,1.2676589812301808
6,ptype_6,2,if you,1.1764716584168577
6,ptype_6,3,you re,1.11958484259929
6,ptype_6,4,you,1.1100647473535212
6,ptype_6,5,re,1.0701165264009458
6,ptype_6,6,re not,1.0415013961189579
6,ptype_6,7,we,1.002011377687793
6,ptype_6,8,do together,0.9731967586206997
6,ptype_6,9,of,0.9719654860540446
6,ptype_6,10,if,0.9545360883358887
6,ptype_6,11,say,0.8683909396536217
6,ptype_6,12,it,0.860995286970374
6,ptype_6,13,together we,0.8514915269525933
6,ptype_6,14,not sure,0.8457067824359451
6,ptype_6,15,what are,0.8352874998816154
6,ptype_6,16,are the,0.8352834453739687
6,ptype_6,17,think,0.8272359403095293
6,ptype_6,18,will do,0.7811585017902034
6,ptype_6,19,you ll,0.7570007340538913
6,ptype_6,20,say so,0.7475178287742099
7,ptype_7,1,am sorry,1.8635802867571944
7,ptype_7,2,am,1.6216849276608332
7,ptype_7,3,have no,1.018908002908997
7,ptype_7,4,but,0.9043383477878592
7,ptype_7,5,no,0.8906962819440143
7,ptype_7,6,have,0.8700853935659622
7,ptype_7,7,sorry but,0.8483321023629722
7,ptype_7,8,response should,0.848069174704867
7,ptype_7,9,takes the,0.8139675424307562
7,ptype_7,10,person takes,0.7934252364255139
7,ptype_7,11,but have,0.7809162338247401
7,ptype_7,12,the first,0.7758256424466339
7,ptype_7,13,first,0.7644906233022274
7,ptype_7,14,longer response,0.7360544785286626
7,ptype_7,15,first person,0.7163018042643997
7,ptype_7,16,he,0.7085950984925635
7,ptype_7,17,work the,0.7036771500327897
7,ptype_7,18,takes,0.6967489564259798
7,ptype_7,19,sequence is,0.6707108004561464
7,ptype_7,20,the sequence,0.6707108004561464
8,ptype_8,1,points,1.1194925411866883
8,ptype_8,2,points points,1.1182059138278002
8,ptype_8,3,work and,1.0871006420222071
8,ptype_8,4,step,0.9094228843203096
8,ptype_8,5,that if,0.8690542216942617
8,ptype_8,6,work,0.8285825985635661
8,ptype_8,7,it,0.7564646510212374
8,ptype_8,8,go,0.6853677288386993
8,ptype_8,9,person,0.6801287468484627
8,ptype_8,10,ask if,0.660845475493197
8,ptype_8,11,the work,0.6500954648848127
8,ptype_8,12,step in,0.647447284094956
8,ptype_8,13,the next,0.6362192909748134
8,ptype_8,14,short sequence,0.6330505447160227
8,ptype_8,15,at 00,0.6289510219230582
8,ptype_8,16,for each,0.6199138851161975
8,ptype_8,17,at,0.6174638679597637
8,ptype_8,18,to go,0.6163282039681173
8,ptype_8,19,next step,0.6142318465345216
8,ptype_8,20,each step,0.5973631391458494
9,ptype_9,1,points,1.3297877134119096
9,ptype_9,2,minutes,1.2215086109037239
9,ptype_9,3,is to,1.1814007684581165
9,ptype_9,4,points points,1.0761349578231807
9,ptype_9,5,do,1.0601065149181643
9,ptype_9,6,minutes minutes,0.9902165336087083
9,ptype_9,7,paragraphs,0.9573300723391228
9,ptype_9,8,to the,0.9486060773408846
9,ptype_9,9,the next,0.9167890023748784
9,ptype_9,10,sentences,0.8909203950878135
9,ptype_9,11,person will,0.8794137888522016
9,ptype_9,12,paragraphs sentences,0.8424145154239328
9,ptype_9,13,at the,0.8315870316119134
9,ptype_9,14,next,0.8218835761682478
9,ptype_9,15,step is,0.8135393056899141
9,ptype_9,16,characters paragraphs,0.6797400850999705
9,ptype_9,17,the airport,0.6686906253109007
9,ptype_9,18,airport,0.6642523815390642
9,ptype_9,19,is,0.6516059644056263
9,ptype_9,20,plan,0.6367128338239824
10,ptype_10,1,sentences,2.7859773084824337
10,ptype_10,2,sentences sentences,2.211166288361775
10,ptype_10,3,minutes,1.186739676205929
10,ptype_10,4,this then,1.0740210341048453
10,ptype_10,5,then this,1.0132657047631646
10,ptype_10,6,minutes minutes,0.9714644408617579
10,ptype_10,7,do this,0.8402252600051915
10,ptype_10,8,the familiar,0.7735232700932567
10,ptype_10,9,suggest that,0.7232737196849603
10,ptype_10,10,will do,0.7226716210366135
10,ptype_10,11,continue with,0.6925213687591754
10,ptype_10,12,this,0.6779225635941368
10,ptype_10,13,will,0.6600762615124327
10,ptype_10,14,continue,0.659769108163312
10,ptype_10,15,familiar procedure,0.6346016641598321
10,ptype_10,16,dishes do,0.5919139478505827
10,ptype_10,17,suggest,0.5901920915934767
10,ptype_10,18,your,0.583842883060183
10,ptype_10,19,post,0.5818032058790347
10,ptype_10,20,familiar,0.5358195244503758
11,ptype_11,1,how,1.1561445964019819
11,ptype_11,2,how can,1.1281340133383786
11,ptype_11,3,minutes minutes,1.0998906219942108
11,ptype_11,4,ask question,1.0554887041187186
11,ptype_11,5,question if,1.0398153335229718
11,ptype_11,6,question,1.0186761180933044
11,ptype_11,7,what,0.9700378154333125
11,ptype_11,8,what is,0.9439224818121145
11,ptype_11,9,effect,0.9044186904290574
11,ptype_11,10,minutes,0.8836002052032347
11,ptype_11,11,is the,0.8570365137807119
11,ptype_11,12,is,0.8055808946573785
11,ptype_11,13,be divided,0.7620887418054199
11,ptype_11,14,purpose,0.688237245280351
11,ptype_11,15,purpose of,0.685135266462209
11,ptype_11,16,the purpose,0.6819715920712289
11,ptype_11,17,plan what,0.6806681690512596
11,ptype_11,18,their,0.664606905350636
11,ptype_11,19,is familiar,0.6518712005959236
11,ptype_11,20,work is,0.6241925324427822
12,ptype_12,1,ll,2.10615066824176
12,ptype_12,2,back,1.4963568186299578
12,ptype_12,3,ll be,1.2675396679438966
12,ptype_12,4,going to,1.0706896592885013
12,ptype_12,5,be there,1.0515795083144293
12,ptype_12,6,oh,1.023275290044492
12,ptype_12,7,there,1.021505451272635
12,ptype_12,8,going,0.9812811252608178
12,ptype_12,9,sorry can,0.9469062733358757
12,ptype_12,10,minutes ll,0.899638974531062
12,ptype_12,11,be,0.8808503945411311
12,ptype_12,12,do it,0.7567885171294968
12,ptype_12,13,back in,0.7444832584899496
12,ptype_12,14,we,0.7273064773194982
12,ptype_12,15,there in,0.7187958719907304
12,ptype_12,16,now,0.7078059832944239
12,ptype_12,17,re,0.7036541248540862
12,ptype_12,18,back to,0.6808950928685287
12,ptype_12,19,you re,0.6780322205395352
12,ptype_12,20,if the,0.6733695930381435
13,ptype_13,1,reply another,0.8729482635779018
13,ptype_13,2,about,0.8709432556355401
13,ptype_13,3,this step,0.809156687750355
13,ptype_13,4,write brief,0.7970001111115987
13,ptype_13,5,that sorry,0.7816174102653275
13,ptype_13,6,write,0.7813529044458577
13,ptype_13,7,another participant,0.75739495825201
13,ptype_13,8,update about,0.7421544199424449
13,ptype_13,9,brief,0.7377697152781876
13,ptype_13,10,another,0.6788338306603496
13,ptype_13,11,hear you,0.6444901307499081
13,ptype_13,12,do next,0.6384494532703551
13,ptype_13,13,of this,0.6218267082183996
13,ptype_13,14,out,0.6209687403223166
13,ptype_13,15,asks for,0.6076564289552785
13,ptype_13,16,for,0.6052076057432719
13,ptype_13,17,response about,0.5998328383878565
13,ptype_13,18,afraid can,0.599693384990406
13,ptype_13,19,but afraid,0.599693384990406
13,ptype_13,20,for an,0.5965896870636119
14,ptype_14,1,000 words,0.8958150451766835
14,ptype_14,2,words 000,0.8958150451766835
14,ptype_14,3,000,0.873716684073601
14,ptype_14,4,person,0.7772003085823652
14,ptype_14,5,reply another,0.7715777166678123
14,ptype_14,6,second person,0.7618160984557693
14,ptype_14,7,can go,0.7493134217432919
14,ptype_14,8,first person,0.7348994357171207
14,ptype_14,9,another,0.6971385673133547
14,ptype_14,10,into more,0.6957242964716608
14,ptype_14,11,another participant,0.6786525907459422
14,ptype_14,12,update about,0.6690053128225513
14,ptype_14,13,person says,0.6647525468458203
14,ptype_14,14,says ll,0.6647525468458203
14,ptype_14,15,says,0.634807699170671
14,ptype_14,16,about,0.6343341317879804
14,ptype_14,17,reply,0.6310883497035156
14,ptype_14,18,more detail,0.6295584261482475
14,ptype_14,19,go,0.6222175791564369
14,ptype_14,20,an,0.6189526272518278
15,ptype_15,1,minutes hours,0.8081787707614706
15,ptype_15,2,sorry,0.7588510979875507
15,ptype_15,3,hours days,0.7498936550079862
15,ptype_15,4,days weeks,0.7498936550079862
15,ptype_15,5,is this,0.7385678277378694
